objectid,title,creator,date,date range,description,subject,people,location,latitude,longitude,source,identifier,PID,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
pascal_022,Field with Hay Stacks,"Pascal, Descartes L., 1870",1880,1880/1920,This image depicts a field with several hay stacks. Two men are shown; one is at work stacking the wild prairie grass hay.,"Stacks (Hay, Grain, etc.)",,Iowa,,,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_0,MS 0091,isu:Pascal_0,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_0~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_0~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_0~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_020,Teacher and students outside a one-room schoolhouse.,"Pascal, Descartes L., 1870",1890,1890/1900,"Teacher and students posed outside a one-room schoolhouse. The children in the front row are dressed in white and are carrying flowers. The tallest woman on the left in the back row is Lucy Pascal, sister of Descartes Pascal. The school is located in Lincoln Township, Pocahontas County, Iowa.",Rural schools,"Pascal, Lucy",Pocahontas County (Iowa); Iowa,42.73637988,-94.62707431,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_1,MS 0091,isu:Pascal_1,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_1~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_1~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_1~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_001,Boys on Horse-Drawn Sleds,"Pascal, Descartes L., 1870",1880,1880/1920,Boys on horse-drawn sleds in winter. Lee Pascal and Jasper Babcock are on the front sled. Percy Pascal and Jim Townsen are on the rear sled. The horse's name is Daisy. The photo is taken in front of the corn crib on the Pascal farm.,Sleds; Corncribs,,Clinton County (Iowa); Iowa,41.83973187,-90.20570388,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_10,MS 0091,isu:Pascal_10,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_10~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_10~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_10~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_012,Bussen farm,"Pascal, Descartes L., 1870",1880,1880/1920,The Bussen farm house and outbuildings in winter. The house and yard are enclosed by a picket fence. The lawn is covered with snow. There is cupola on one of the outbuildings.,Bussen family--Homes and haunts,,Grand Mound (Iowa); Clinton County (Iowa); Iowa,41.82518719,-90.64691302,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_11,MS 0091,isu:Pascal_11,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_11~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_11~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_11~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_002,Pascal house,"Pascal, Descartes L., 1870",1880,1880/1920,"Pascal house, east of Grand Mound, Iowa. George W. Pascal and Talitha Cumi Pascal are on the front porch. Daughters Laura and Arcana (Lettie) are in the front yard.",Pascal family--Homes and haunts,"Pascal, George Wourns; Pascal, Talitha Cumi; Pascal, Arcana Celestia; Pascal, Laura",Grand Mound (Iowa); Clinton County (Iowa); Iowa,41.82518719,-90.64691302,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_12,MS 0091,isu:Pascal_12,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_12~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_12~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_12~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_024,"West Side of the Main Street in Pocahontas, Iowa","Pascal, Descartes L., 1870",1880,1880/1920,"West side of the main street in Pocahontas, Iowa. There are many men, women, children, wagons, and horses in this street scene.",,,Pocahontas County (Iowa); Iowa,42.73637988,-94.62707431,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_13,MS 0091,isu:Pascal_13,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_13~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_13~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_13~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_011,Two Women Seated,"Pascal, Descartes L., 1870",1880,1880/1920,"Two women seated beside the back door of their house in DeWitt, Iowa. On the left is Della M. Cotton and on the right is Bertha M. Cotton. They are the daughters of Salem Cotton and his wife Mercy Brown.",Cotton family--Homes and haunts,"Cotton, Della M.; Cotton, Bertha M.",De Witt (Iowa); Clinton County (Iowa); Iowa,41.82296891,-90.54559164,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_14,MS 0091,isu:Pascal_14,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_14~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_14~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_14~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_027,Children Playing Outside,"Pascal, Descartes L., 1870",1880,1880/1920,ChildrenA boy pours something from a bucket into a cauldron steaming over a fire. The girls are dressed in coats and bonnets.,Children,,Iowa,,,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_15,MS 0091,isu:Pascal_15,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_15~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_15~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_15~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_014,Mixing Cement for an Ice house,"Pascal, Descartes L., 1870",1880,1880/1920,"Two men mixing cement to build an ice house behind the Pascal house east of Grand Mound, Iowa.",Pascal family--Homes and haunts; Icehouses--Design and construction,,Grand Mound (Iowa); Clinton County (Iowa); Iowa,41.82518719,-90.64691302,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_16,MS 0091,isu:Pascal_16,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_16~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_16~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_16~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
pascal_028,George and Descartes (Dan) Pascal,"Pascal, Descartes L., 1870",1880,1880/1920,"George and Descartes (Dan) Pascal at the John Pascal farm in Pocahontas, Iowa. The man on the right holds a rifle.",Pascal family--Homes and haunts,"Pascal, George",Pocahontas County (Iowa); Iowa,42.73637988,-94.62707431,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3APascal_17,MS 0091,isu:Pascal_17,Glass plate negative,image/jpeg,eng,"This work has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights. The organization that has made this item available believes that the item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. (CC Public Domain 1.0 and RightsStatements.org NoC-US 1.0). The original object is available at the Iowa State University Library Special Collections and University Archives (archives@iastate.edu). To request higher resolution reproductions of the original see http://archives.lib.iastate.edu/using-our-materials/making-copies/photog...",http://rightsstatements.org/vocab/NoC-CR/1.0/,image,https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_17~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/max/0/default.jpg,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_17~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:Pascal_17~JP2~6efb3e2e0e99f94d7d0bc878632cd4676b4c32871494185765fcc53f7c48cb63~isu_public/full/500,/0/default.jpg"
